comprehension,noun 理解力；领悟力
frank,adj 坦白的；直率的
appalling,adj 令人震惊的；极为恶劣的 adj 非常的；极其严重的
metro,noun 地铁；地下铁路
baffle,verb 使困惑；把…难住
accidental,adj 意外的；偶然（发生）的
fancy,verb 想要；想做 noun 想象，幻想 adj 别致的；精美的；花哨的 adj 奢华的，豪华的，昂贵的
vital,adj 至关重要的；必不可少的
communicate,verb 联系；交流 verb 传达；传递
royal,adj 王室的；皇室的；皇家的 
context,noun 上下文；语境
fantastic,adj 极好的；极妙的；了不起的
spotlight,noun 聚光灯；亮点；焦点
swell,verb （使）膨胀；（使）扩大；（使）增加 verb （身体部位）肿胀，膨胀 verb 涌起，充满（某种情感）
