consistent,adj （观点等）一致的，连贯的
virtually,adv 几乎；实际上；事实上
extensive,adj 广阔的； 广泛的
mobility,noun  流动性；机动性
lift,verb 抬起（头或眼睛） verb 撤销，解除（法令等）
emperor,noun 皇帝
secure,verb 使…免遭攻击；保护；确保 adj 稳固的；稳定的；可靠的 adj 安心的；心里踏实的
legislator,noun 立法者；立法机关成员；议会议员
problematic,adj 有问题的；有困难的；疑难的
chore,noun 杂务；家庭琐事
